ratio = 9.122278279341476, flow_size = 0.051507MB
ratio = 6.7338758815037405, flow_size = 1.704561MB
ratio = 4.3163044208214325, flow_size = 0.00086MB
ratio = 6.203230831419022, flow_size = 0.02132MB
ratio = 8.219810952327189, flow_size = 0.811953MB
ratio = 5.033231454638678, flow_size = 5.20764MB
ratio = 5.228240988293512, flow_size = 0.013406MB
ratio = 8.317305452757434, flow_size = 0.828315MB
ratio = 7.44798541724523, flow_size = 0.035103MB
ratio = 2.1406326742614237, flow_size = 4.388404MB
ratio = 5.198224297959924, flow_size = 0.023507MB
ratio = 4.497988533608416, flow_size = 2.9316MB
ratio = 2.9036681601165295, flow_size = 0.337117MB
ratio = 2.065892355501287, flow_size = 0.075085MB
ratio = 4.531168425273619, flow_size = 0.059279MB
ratio = 4.790846430533161, flow_size = 0.040108MB
ratio = 5.464272207987125, flow_size = 0.003005MB
ratio = 2.795117102321616, flow_size = 0.066595MB
